"tweet_id","type","probability","text"
1332168962528792576,"Organization",0.8147,"FORD"
1332167452034293760,"Other",0.9958,"Thanksgiving"
1332167452034293760,"Place",0.9977,"Canada"
1332167452034293760,"Other",0.9835,"thanksgiving"
1332163881578401792,"Organization",0.4817,"Ontario Food Safety"
1332161604948013056,"Place",0.9942,"Ontario"
1332161018794024961,"Place",0.4658,"Toronto"
1332161018794024961,"Place",0.9976,"Toronto"
1332159509377265667,"Place",0.9752,"Canada"
1332159509377265667,"Place",0.7421,"Africa"
1332157512070483968,"Organization",0.5386,"CBC News"
1332155430898782208,"Place",0.6489,"Sask"
1332154356829982720,"Place",0.9943,"Canada"
1332154356829982720,"Place",0.9527,"UK"
1332154355299082241,"Place",0.9148,"Ontario"
1332154355299082241,"Place",0.973,"USA"
1332153977501265921,"Place",0.9979,"Toronto"
1332153934471966721,"Place",0.6489,"Sask"
1332153768054579203,"Place",0.9925,"Ontario"
1332153768054579203,"Person",0.9161,"Doug"
1332153768054579203,"Place",0.9967,"Canada"
1332151737520517121,"Place",0.5495,"Victoria"
1332151737520517121,"Organization",0.7401,"CBC News"
1332150913390288897,"Place",0.8919,"Ontario"
1332150913390288897,"Place",0.9316,"New York"
1332150913390288897,"Place",0.985,"Toronto"
1332150431838068736,"Place",0.6489,"Sask"
1332145042064953344,"Place",0.674,"Sask"
1332143219858165761,"Place",0.9986,"Toronto"
1332132025709555717,"Product",0.3791,"Amazon Costco"
1332132025709555717,"Place",0.8061,"Ontario"
1332128694383611906,"Place",0.8878,"Alberta"
1332128694383611906,"Place",0.9838,"Canada"
1332126683672031243,"Place",0.9918,"Toronto"
1332122709984161794,"Person",0.7688,"Yezin Al-Qaysi"
1332119468919693314,"Place",0.9761,"Canada"
1332118695108366336,"Place",0.9453,"Toronto"
1332117897091682306,"Person",0.9953,"Adam Skelly"
1332117897091682306,"Place",0.9988,"Toronto"
1332117897091682306,"Place",0.7341,"Canada"
1332112195803635712,"Place",0.9813,"Canada"
1332112195803635712,"Place",0.8653,"Canada"
1332112195803635712,"Organization",0.8162,"CBC News"
1332110880331460609,"Place",0.9547,"Canada"
1332107800672014337,"Person",0.9944,"Tyler Orton"
1332107800672014337,"Place",0.9812,"Vancouver"
1332103821674221569,"Person",0.5855,"Covid"
1332103821674221569,"Person",0.9578,"Trudeau"
1332103821674221569,"Person",0.9167,"Trudeau"
1332103821674221569,"Person",0.6348,"Notley"
1332103821674221569,"Place",0.9974,"Canada"
1332102906816983043,"Organization",0.8744,"Disney"
1332102765540237313,"Person",0.9923,"Adam Skelly"
1332102765540237313,"Place",0.9741,"Canada"
1332102765540237313,"Place",0.9493,"North Korea"
1332102742781915138,"Place",0.978,"Canada"
1332102455987867649,"Place",0.6805,"Toronto"
1332102455987867649,"Place",0.9897,"Toronto"
1332100101460746240,"Organization",0.4868,"Trudeau Regime"
1332100101460746240,"Organization",0.592,"Safeway"
1332100101460746240,"Place",0.9527,"Canada"
1332095673479532544,"Organization",0.6798,"Safeway"
1332095673479532544,"Organization",0.6382,"Costco"
1332095673479532544,"Organization",0.4387,"Superstore"
1332095673479532544,"Place",0.3684,"Trudeau Regime"
1332095673479532544,"Place",0.9461,"Canada"
1332095673479532544,"Place",0.8324,"Canada"
1332095234361217025,"Place",0.9986,"Canada"
1332095234361217025,"Place",0.5288,"Covid"
1332095234361217025,"Place",0.8842,"North Korea"
1332094846178390017,"Place",0.9501,"Canada"
1332092816021925888,"Person",0.3623,"Skelley"
1332092645435469826,"Place",0.9937,"Canada"
1332089603726127108,"Organization",0.6197,"Visa Application Centre"
1332089603726127108,"Place",0.9634,"Santiago"
1332087428664856582,"Place",0.9959,"Toronto"
1332087428664856582,"Place",0.5412,"Covid"
1332086762005426178,"Place",0.7938,"Ontario"
1332086762005426178,"Place",0.9719,"Canada"
1332084428504436736,"Place",0.3469,"Ontario"
1332084428504436736,"Place",0.99,"NYC"
1332084124828512259,"Place",0.9565,"CANADA"
1332082559275110401,"Person",0.9759,"Emilie de Rosenroll"
1332082559275110401,"Place",0.9986,"Canada"
1332080032190144512,"Place",0.3026,"Peel, Toronto"
1332078184486088711,"Organization",0.9044,"Perth Community Futures"
1332078184486088711,"Place",0.9009,"Canada"
1332078131369439233,"Organization",0.9044,"Perth Community Futures"
1332078131369439233,"Place",0.9009,"Canada"
1332077920072785920,"Place",0.9923,"Toronto"
1332075699948187651,"Place",0.8753,"Toronto"
1332074570493267968,"Organization",0.8576,"Costco"
1332074570493267968,"Organization",0.9002,"Walmart"
1332074282625757186,"Place",0.8823,"Ontario"
1332073897198497792,"Place",0.7579,"Toronto"
1332073846539685889,"Place",0.9663,"Canada"
1332073846539685889,"Place",0.9533,"North Korea"
1332073652339163136,"Place",0.5492,"Canada"
1332073652339163136,"Person",0.9414,"Tiff Macklem"
1332073178840006656,"Place",0.8393,"South Dakota"
1332072184357982215,"Person",0.9864,"Adam Skelly"
1332072184357982215,"Person",0.7558,"Trudeau"
1332071049157087232,"Place",0.7769,"Toronto"
1332070558293344256,"Place",0.9984,"Canada"
1332069913809195011,"Place",0.702,"Ontario"
1332067682087100416,"Person",0.9385,"Trudeau"
1332067577254785028,"Place",0.9917,"Ontario"
1332067317962989571,"Place",0.9873,"Canada"
1332066646178082817,"Person",0.8113,"Heather"
1332066646178082817,"Place",0.98,"Windsor"
1332066646178082817,"Place",0.957,"Ontario"
1332066646178082817,"Person",0.5667,"Heather"
1332065794348335104,"Organization",0.745,"BLM"
1332065794348335104,"Place",0.9947,"Vancouver"
1332065794348335104,"Place",0.8125,"United States"
1332062416570638337,"Place",0.8866,"ontario"
1332061565080592384,"Place",0.9992,"Toronto"
1332061565080592384,"Person",0.9942,"Adam Skelly"
1332060550721916929,"Place",0.9035,"Ontario"
1332060142481903622,"Place",0.9921,"Canada"
1332060142481903622,"Organization",0.4181,"Pfizer"
1332059873186607109,"Place",0.2837,"Peel, Toronto"
1332059873186607109,"Place",0.9446,"Toronto"
1332058960984064000,"Place",0.9984,"Canada"
1332058960984064000,"Place",0.9952,"Taiwan"
1332058960984064000,"Place",0.98,"Australia"
1332056449510477825,"Person",0.9967,"Kyle Dubas"
1332056449510477825,"Person",0.562,"Covid"
1332056449510477825,"Organization",0.7366,"Toronto Home"
1332055724550213640,"Person",0.9357,"Trudeau"
1332055724550213640,"Place",0.9722,"Canada"
1332055724550213640,"Person",0.955,"Doug Ford"
1332055724550213640,"Place",0.8782,"Ontario"
1332055724550213640,"Person",0.8799,"President Trump"
1332055027087642625,"Place",0.911,"Dawson City"
1332055027087642625,"Organization",0.8565,"CBC News"
1332054096002637830,"Place",0.997,"CANADA"
1332048843706408963,"Place",0.9858,"Canada"
1332048843706408963,"Place",0.9983,"Canada"
1332048658473263104,"Place",0.978,"Canada"
1332048658473263104,"Place",0.9464,"US"
1332047079246598147,"Person",0.9618,"john tory"
1332047079246598147,"Organization",0.5567,"Adamson BBQ"
1332047079246598147,"Place",0.6877,"Toronto"
1332046465376587780,"Organization",0.8342,"CIBC"
1332046465376587780,"Organization",0.588,"Bank of Montreal"
1332046465376587780,"Place",0.6423,"Toronto"
1332046465376587780,"Organization",0.9199,"Dominion Bank"
1332046165446176768,"Place",0.9969,"Canada"
1332045888286380032,"Place",0.9113,"Alberta"
1332045086918647810,"Place",0.9555,"Toronto"
1332045086918647810,"Place",0.9984,"Canada"
1332045086918647810,"Person",0.9947,"Justin Trudeau"
1332045086918647810,"Person",0.9425,"Chrystia Freeland"
1332045086918647810,"Person",0.9728,"Theresa Tam"
1332045086918647810,"Person",0.9783,"Doug Ford"
1332045086918647810,"Place",0.9825,"Germany"
1332044931108642816,"Organization",0.5263,"Public Health"
1332044427548905480,"Place",0.9868,"Canada"
1332043950807388160,"Organization",0.4745,"Corner Brook"
1332043153751216129,"Place",0.999,"Canada"
1332042833444814849,"Place",0.9611,"Canada"
1332041538889601024,"Place",0.9942,"Australia"
1332041538889601024,"Place",0.995,"Canada"
1332041538889601024,"Place",0.9601,"England"
1332040543791149061,"Organization",0.6053,"Carleton University"
1332040543791149061,"Place",0.9709,"Canada"
1332040543791149061,"Place",0.5086,"Europe"
1332040221039489024,"Place",0.8667,"Hudson's Bay"
1332040221039489024,"Place",0.9709,"Coquitlam Centre"
1332039477875904515,"Place",0.8019,"toronto"
1332038235564937220,"Place",0.8251,"Toronto Canada"
1332037510642413569,"Organization",0.4533,"Covid"
1332037334909427712,"Person",0.8001,"Kenney"
1332037334909427712,"Place",0.9878,"Canada"
1332036790249775106,"Organization",0.5775,"Public Health"
1332036790249775106,"Organization",0.8531,"CBC News"
1332031189171855361,"Place",0.9782,"Canada"
1332031058301362181,"Place",0.3772,"Beacon Hill Park"
1332031058301362181,"Place",0.9971,"Toronto"
1332031058301362181,"Organization",0.624,"Costco"
1332030120098410496,"Place",0.9868,"Ontario"
1332030120098410496,"Place",0.8807,"Canada"
1332029106549108741,"Place",0.9614,"CANADA"
1332029106549108741,"Person",0.9579,"Adam Skelly"
1332029106549108741,"Organization",0.4427,"Coronavirus"
1332028902236098566,"Organization",0.5076,"Canada Emergency Response Benefit"
1332028698128568320,"Place",0.9885,"Canada"
1332028698128568320,"Place",0.9363,"North Korea"
1332028466527674369,"Person",0.9964,"John John"
1332027766255067137,"Place",0.991,"Canada"
1332026978594119689,"Organization",0.5767,"COVID"
1332025156861120513,"Place",0.9873,"Canada"
1332025106323877895,"Organization",0.5289,"Public Health"
1332025089122918403,"Place",0.9122,"Ontario"
1332024002123083785,"Place",0.9903,"Toronto"
1332023560320163842,"Place",0.9214,"Canada"
1332023560320163842,"Organization",0.308,"Safeway, Superstore"
1332023560320163842,"Organization",0.8262,"Costco"
1332023560320163842,"Person",0.647,"Trudeau"
